,DEF.poly2,DEF.poly3,DEF.stk3,DEF.vote,DEF.univ,EF,HL,HLeqw,PH,Tsiatis,Xie,PR,Stukel
null,0.04633333333333333,0.049666666666666665,0.04733333333333333,0.048,0.05333333333333334,0.043333333333333335,0.043666666666666666,0.047,0.02266666666666667,0.062,0.027666666666666666,0.055,0.04833333333333333
cloglog,0.8153333333333334,0.767,0.7623333333333333,0.8093333333333333,0.7726666666666666,0.49733333333333335,0.411,0.4826666666666667,0.32866666666666666,0.35933333333333334,0.293,0.19966666666666666,0.846
loglog,0.7433333333333333,0.676,0.628,0.7226666666666667,0.6783333333333333,0.4216666666666667,0.39666666666666667,0.4093333333333333,0.32033333333333336,0.36533333333333334,0.29433333333333334,0.156,0.7636666666666667
probit,0.04466666666666667,0.063,0.063,0.06066666666666667,0.059333333333333335,0.04933333333333333,0.043333333333333335,0.05533333333333333,0.029,0.04466666666666667,0.024333333333333332,0.051666666666666666,0.087
cauchit,0.10733333333333334,0.202,0.222,0.20633333333333334,0.19966666666666666,0.10266666666666667,0.10766666666666666,0.125,0.078,0.10366666666666667,0.07066666666666667,0.06066666666666667,0.21966666666666668
robit_t4,0.05366666666666667,0.059666666666666666,0.06233333333333333,0.06733333333333333,0.06766666666666667,0.04933333333333333,0.051666666666666666,0.051,0.03166666666666667,0.051666666666666666,0.030333333333333334,0.051333333333333335,0.06133333333333333
scobit2,0.15766666666666668,0.11633333333333333,0.11533333333333333,0.14,0.12566666666666668,0.07766666666666666,0.069,0.09,0.044333333333333336,0.064,0.043666666666666666,0.07066666666666667,0.14033333333333334
scobit_half,0.08,0.06433333333333334,0.07033333333333333,0.073,0.07533333333333334,0.054,0.052,0.058,0.036,0.05366666666666667,0.035,0.07633333333333334,0.071
stukel_heavy,0.42,0.7286666666666667,0.784,0.7383333333333333,0.7343333333333333,0.532,0.537,0.5803333333333334,0.45666666666666667,0.5113333333333333,0.4533333333333333,0.18133333333333335,0.7536666666666667
stukel_light,0.079,0.3433333333333333,0.3953333333333333,0.3383333333333333,0.381,0.302,0.303,0.3333333333333333,0.235,0.258,0.20066666666666666,0.079,0.38233333333333336
stukel_asym,0.43733333333333335,0.9283333333333333,0.9526666666666667,0.935,0.9383333333333334,0.8096666666666666,0.813,0.82,0.7586666666666667,0.7796666666666666,0.7276666666666667,0.246,0.957
quad,0.6323333333333333,0.5316666666666666,0.5416666666666666,0.6116666666666667,0.5896666666666667,0.327,0.431,0.21033333333333334,0.36666666666666664,0.411,0.3863333333333333,,0.556
cubic,0.06866666666666667,0.824,0.8223333333333334,0.7863333333333333,0.775,0.5933333333333334,0.589,0.5513333333333333,0.5096666666666667,0.5773333333333334,0.558,,0.8636666666666667
int_bin,0.9083333333333333,0.8916666666666667,0.905,0.913,0.9043333333333333,0.7006666666666667,0.7263333333333334,0.745,0.6596666666666666,0.7866666666666666,0.7476666666666667,0.91,0.879
int_cont,0.49466666666666664,0.425,0.5053333333333333,0.5046666666666667,0.5333333333333333,0.22533333333333333,0.248,0.2623333333333333,0.19166666666666668,0.43,0.407,,0.5006666666666667
sawtooth,0.05733333333333333,0.11333333333333333,0.16633333333333333,0.132,0.9656666666666667,0.9506666666666667,0.9513333333333334,0.8693333333333333,0.9253333333333333,0.948,0.949,,0.106
osc4,0.07933333333333334,0.52,0.6576666666666666,0.5666666666666667,1.0,1.0,1.0,0.9983333333333333,1.0,1.0,1.0,,0.5326666666666666
bump,0.9676666666666667,0.9593333333333334,0.9606666666666667,0.9676666666666667,0.9663333333333334,0.848,0.8636666666666667,0.866,0.8126666666666666,0.843,0.8326666666666667,,0.9623333333333334
crossover,0.07833333333333334,0.075,0.068,0.08233333333333333,0.8116666666666666,0.06066666666666667,0.060333333333333336,0.08366666666666667,0.039,0.9316666666666666,0.91,0.9833333333333333,0.08566666666666667
threshold,0.76,0.6746666666666666,0.5303333333333333,0.7103333333333334,0.7586666666666667,0.6396666666666667,0.6296666666666667,0.6313333333333333,0.5573333333333333,0.6556666666666666,0.6176666666666667,,0.6813333333333333
logx,0.97,0.9566666666666667,0.9123333333333333,0.9633333333333334,0.9553333333333334,0.842,0.847,0.8603333333333333,0.7903333333333333,0.817,0.803,,0.978
int_binbin,0.9876666666666667,0.9823333333333333,0.9836666666666667,0.9866666666666667,0.983,0.8213333333333334,0.9563333333333334,0.9856666666666667,,,,0.7356666666666667,0.9843333333333333
skew,0.9116666666666666,0.842,0.778,0.878,0.8483333333333334,0.604,0.609,0.5846666666666667,0.5326666666666666,0.5616666666666666,0.5193333333333333,,0.93
joint,0.22133333333333333,0.18233333333333332,0.14966666666666667,0.20166666666666666,0.193,0.112,0.116,0.11066666666666666,0.083,0.111,0.096,,0.18366666666666667
corr,0.9996666666666667,0.999,0.998,0.9993333333333333,0.9993333333333333,0.9843333333333333,0.9843333333333333,0.9956666666666667,0.975,0.9843333333333333,0.987,,1.0
