"g","pbar","ng","o","e","cg","contrib_hl"
1,0.00909281802956551,33,2,0.300062994975662,5.61328113092937,9.71896996471972
2,0.0301989119754073,33,2,0.996564095188441,0.975541496429024,1.04181683387166
3,0.0609417462226247,33,2,2.01107762534661,-0.00515083272105212,6.49788434860248e-05
4,0.102842407500611,33,4,3.39379944752015,0.158144568806696,0.120691794381917
5,0.169497699622013,34,10,5.76292178714845,0.585177201748968,3.75102014320675
6,0.249254109120192,33,6,8.22538560096632,-0.180725678411971,0.801975898890506
7,0.376474781466968,33,15,12.42366778841,0.0821643903231786,0.856840279050617
8,0.544159703986507,33,16,17.9572702315547,0.0211180545792693,0.468002905872979
9,0.726483388764708,33,23,23.9739518292354,0.0672791494406762,0.144661052239954
10,0.918237142154256,34,29,31.2200628332447,0.727491669459756,1.93081514537876
